timestamp,user_id,ip,belief,strategy,feedback,risk_profile
2025-07-30T22:03:35.793506,test_local_sync,127.0.0.1,I think AAPL will outperform the market over the next 6 months,"{""type"": ""call option"", ""expiration"": ""2025-08-16"", ""explanation"": ""Test explanation""}",good,moderate
2025-07-31T12:22:55.813656,anonymous,127.0.0.1,Tesla will beat earnings,Call Option,good,moderate
2025-07-31T13:11:38.576373,anonymous,127.0.0.1,tsla will beat earnings,Call Option,good,moderate
2025-07-31T13:27:37.077619,anonymous,127.0.0.1,"""I think TSLA will move a lot after earnings, but I’m not sure if it will go up or down.""",Call Option,bad,moderate
2025-07-31T19:21:50.061641,test_feedback_user,127.0.0.1,I think TSLA will double by next year,Buy 1 call option at 2x strike expiring in 12 months,good,moderate
2025-07-31T19:25:16.289987,test_feedback_user,127.0.0.1,I think TSLA will double by next year,Buy 1 call option at 2x strike expiring in 12 months,good,moderate
2025-08-02T13:17:06.956594,anonymous,127.0.0.1,"""I believe Microsoft will rally after their AI announcement next month",Call Option,good,moderate
2025-08-02T14:54:27.932615,anonymous,127.0.0.1,I want to 2x my money on NVDA this month,Call Option,bad,moderate
2025-08-02T16:33:48.257272,anonymous,127.0.0.1,TSLA WILL GO UP,Call Option,bad,moderate
2025-08-02T18:33:40.564527,anonymous,127.0.0.1,TSLA will go up after earnings,Call Option,good,moderate
2025-08-05T00:33:43.657766,anonymous,127.0.0.1,TSLA WILL GO UP,Call Option,good,moderate
2025-08-05T16:59:58.345134,qa_test_user,127.0.0.1,I think AAPL will beat earnings next week,"{""type"": ""Call Option"", ""trade_legs"": [{""action"": ""Buy to Open"", ""ticker"": ""AAPL"", ""option_type"": ""Call"", ""strike_price"": ""150""}], ""expiration"": ""2025-09-20"", ""target_return"": ""20%"", ""max_loss"": ""Premium Paid"", ""time_to_target"": ""2 weeks"", ""explanation"": ""This strategy profits if AAPL rises post-earnings and limits loss to premium paid.""}",good,moderate
2025-08-05T19:17:28.170874,,127.0.0.1,I think NVDA will rally 15% after earnings next week,"{""type"": ""Call Option"", ""trade_legs"": [{""action"": ""Buy to Open"", ""ticker"": ""NVDA"", ""option_type"": ""Call"", ""strike_price"": ""Current Market Price""}], ""expiration"": ""2025-09-20"", ""target_return"": ""15%"", ""max_loss"": ""Premium Paid"", ""time_to_target"": ""1 week"", ""explanation"": ""This strategy profits if NVDA rises post-earnings and limits loss to premium paid.""}",good,moderate
2025-08-05T19:38:38.380676,test_prebeta,127.0.0.1,I believe NVDA will rally 15% after earnings,"{""type"": ""Call Option"", ""trade_legs"": [{""action"": ""Buy to Open"", ""ticker"": ""NVDA"", ""option_type"": ""Call"", ""strike_price"": ""Current Market Price""}], ""expiration"": ""2025-09-20"", ""target_return"": ""15%"", ""max_loss"": ""Premium Paid"", ""time_to_target"": ""1 week"", ""explanation"": ""This strategy profits if NVDA rises post-earnings.""}",good,moderate
2025-08-05T19:50:59.705347,test_prebeta,127.0.0.1,I believe NVDA will rally 15% after earnings,Call Option,good,moderate
2025-08-05T23:56:29.377327,test_prebeta,127.0.0.1,I believe NVDA will rally 15% after earnings,"{""type"": ""Call Option"", ""trade_legs"": [{""action"": ""Buy to Open"", ""ticker"": ""NVDA"", ""option_type"": ""Call"", ""strike_price"": ""Current Market Price""}], ""expiration"": ""2025-09-20"", ""target_return"": ""15%"", ""max_loss"": ""Premium Paid"", ""time_to_target"": ""1 week"", ""explanation"": ""This strategy profits if NVDA rises post-earnings.""}",good,moderate
